"ENSEMBL","SYMBOL","GENENAME","REFSEQ","ENTREZID","STRING_id","GOSLIM_IDS","ProbesetID","count_ENTREZID_mappings","Ecol_K-12MG1655_1G_CTRL_Rep1","Ecol_K-12MG1655_1G_CTRL_Rep2","Ecol_K-12MG1655_1G_CTRL_Rep3","Ecol_K-12MG1655_1G_CTRL_Rep4","Ecol_K-12MG1655_uG_Clinorotation_Rep1","Ecol_K-12MG1655_uG_Clinorotation_Rep2","Ecol_K-12MG1655_uG_Clinorotation_Rep3","Ecol_K-12MG1655_uG_Clinorotation_Rep4"
NA,"rpsJ","30S ribosomal protein S10|30S ribosomal subunit protein S10",NA,"915961|947816",NA,"GO:0006412|GO:0005622|GO:0005829|GO:0005840|GO:0022627|GO:0030529|GO:0000049|GO:0003723|GO:0003735|GO:0005515","1767291_s_at",2,8.68829196314153,8.73092676826077,8.71135577202062,8.8507263511836,8.46134965805573,8.74996769435837,8.85274224343499,9.09578103110627
NA,NA,NA,NA,NA,NA,NA,"1767292_at",0,1.1451152758145,1.52041220726287,1.30514896565408,1.14593521353898,1.69613359357388,1.54846241653818,1.42987026683428,1.2624888886035
NA,"rnlB","CP4-57 prophage; uncharacterized protein",NA,"947113",NA,"GO:0060702|GO:0005515","1767293_at",1,9.84809981825591,9.76259311715863,9.70876119034959,9.68190478093277,9.54751867755578,9.75267103445177,9.81769861003731,9.73053638021331
NA,NA,NA,NA,NA,NA,NA,"1767294_at",0,1.54637938663815,2.43567105569878,1.83722666838442,1.74440624538563,1.67916534896722,1.3449890839995,1.67218830754093,1.67916534896722
NA,"ECs4982","tape measure protein",NA,"915014",NA,NA,"1767295_at",1,2.13012105766197,2.16377292494733,2.39052822627603,1.77623147706293,1.91027652543481,1.46863088317526,1.71061877993796,1.50257901918408
NA,"ECs2277","hypothetical protein",NA,"914073",NA,NA,"1767296_s_at",1,1.9500122282943,1.74027291287471,1.56668486540005,1.99795161426853,2.72919705093578,1.5792934944161,1.67179844880212,1.50790540565779
NA,NA,NA,NA,NA,NA,NA,"1767297_s_at",0,7.99326878511156,8.2450860624511,8.09104749103328,8.41833871951851,8.16293274692283,8.14089639887986,8.13778728906786,8.80489382234959
NA,"garR","tartronate semialdehyde reductase",NA,"916157|947631",NA,NA,"1767298_s_at",2,8.78001135107747,8.75005875651096,8.87975117441411,8.34572654617868,8.73749438565198,8.42926385983309,8.66378497974996,8.21949684736911
NA,"ECs3688|mutH",NA,NA,"916491|947299",NA,"GO:0000018|GO:0006281|GO:0006298|GO:0006304|GO:0006974|GO:0090305|GO:0005737|GO:0032300|GO:0003677|GO:0004518|GO:0004519|GO:0005515|GO:0016787|GO:0043765","1767299_s_at",2,9.29312835662893,9.34231412582647,9.30964919837167,8.68106738702163,9.44376417879833,8.93544802274267,9.15369507024988,8.5899619505023
NA,NA,NA,NA,NA,NA,NA,"1767300_at",0,5.82317810490048,5.88932060062158,6.16359813948753,6.00493771460903,5.74259491727888,5.79444979750697,5.91915381470724,5.73869010148054
